,Date,Symbol,Open,High,Low,Close,Volume BTC,Volume USD
1571,2015-12-22,BTCUSD,"437,99","442,46","434,79","435,82","286,88","125801,91"
1572,2015-12-21,BTCUSD,"439,51","449,99","428,52","437,99","190,11","83319,44"
1573,2015-12-20,BTCUSD,"461,8","462,99","432,33","439,51","321,0","143210,6"
1574,2015-12-19,BTCUSD,"463,02","466,93","455,0","461,8","114,09","52855,37"
1575,2015-12-18,BTCUSD,"458,0","465,73","456,56","463,02","497,74","229780,19"
1576,2015-12-17,BTCUSD,"456,34","459,89","450,25","458,0","312,18","142561,92"
1577,2015-12-16,BTCUSD,"465,99","466,24","440,0","456,34","452,41","206807,6"
1578,2015-12-15,BTCUSD,"445,7","480,0","445,1","465,99","974,16","447962,48"
1579,2015-12-14,BTCUSD,"435,9","450,36","429,86","445,7","1019,46","456179,39"
1580,2015-12-13,BTCUSD,"435,0","441,53","422,0","435,9","120,12","52006,96"
1581,2015-12-12,BTCUSD,"452,0","473,34","408,45","435,0","537,74","234650,28"
1582,2015-12-11,BTCUSD,"416,49","454,97","416,49","452,0","905,65","395780,18"
1583,2015-12-10,BTCUSD,"418,98","422,89","412,54","416,49","652,46","272274,87"
1584,2015-12-09,BTCUSD,"412,13","424,48","347,5","418,98","695,45","285473,2"
1585,2015-12-08,BTCUSD,"398,62","412,13","390,84","412,13","501,04","200415,53"
1586,2015-12-07,BTCUSD,"395,5","400,0","385,01","398,62","779,95","307497,84"
1587,2015-12-06,BTCUSD,"385,82","403,33","385,82","395,5","220,74","86851,71"
1588,2015-12-05,BTCUSD,"362,03","389,9","361,53","385,82","746,45","278215,04"
1589,2015-12-04,BTCUSD,"361,5","364,48","356,0","362,03","912,81","329262,86"
1590,2015-12-03,BTCUSD,"361,18","369,99","358,0","361,5","965,2","350211,87"
1591,2015-12-02,BTCUSD,"363,01","364,03","349,0","361,18","422,45","151625,88"
1592,2015-12-01,BTCUSD,"377,29","379,99","355,01","363,01","511,06","186714,7"
1593,2015-11-30,BTCUSD,"368,11","380,99","367,5","377,29","1510,3","565830,65"
1594,2015-11-29,BTCUSD,"357,0","380,0","354,01","368,11","462,71","168299,4"
1595,2015-11-28,BTCUSD,"360,4","360,41","352,0","357,0","161,21","57658,18"
1596,2015-11-27,BTCUSD,"360,0","369,04","347,76","360,4","1023,14","370511,16"
1597,2015-11-26,BTCUSD,"327,5","365,37","327,5","360,0","510,4","175433,89"
1598,2015-11-25,BTCUSD,"317,52","332,0","315,21","327,5","546,09","178654,88"
1599,2015-11-24,BTCUSD,"322,75","324,53","305,0","317,52","884,39","283519,45"
1600,2015-11-23,BTCUSD,"324,37","326,32","320,01","322,75","1010,84","326786,37"
1601,2015-11-22,BTCUSD,"325,22","328,75","320,99","324,37","301,36","97804,72"
1602,2015-11-21,BTCUSD,"320,51","328,97","318,28","325,22","324,76","105230,72"
1603,2015-11-20,BTCUSD,"325,01","328,3","310,0","320,51","371,67","119626,03"
1604,2015-11-19,BTCUSD,"335,99","335,99","322,34","325,01","908,48","302039,17"
1605,2015-11-18,BTCUSD,"334,51","337,9","330,01","335,99","1545,01","517355,7"
1606,2015-11-17,BTCUSD,"336,99","340,24","328,33","334,51","892,06","299171,45"
1607,2015-11-16,BTCUSD,"318,66","338,99","315,0","336,99","475,92","155088,38"
1608,2015-11-15,BTCUSD,"349,99","354,99","317,76","318,66","396,53","132609,66"
1609,2015-11-14,BTCUSD,"338,45","2200,0","332,92","349,99","616,59","254383,14"
1610,2015-11-13,BTCUSD,"335,5","348,58","326,6","338,45","478,64","160014,56"
1611,2015-11-12,BTCUSD,"306,0","344,8","300,51","335,5","1215,85","397146,18"
1612,2015-11-11,BTCUSD,"336,18","343,75","300,0","306,0","1225,57","385120,65"
1613,2015-11-10,BTCUSD,"381,46","383,0","236,0","336,18","728,85","255925,57"
1614,2015-11-09,BTCUSD,"377,0","386,79","361,43","381,46","1134,47","426641,07"
1615,2015-11-08,BTCUSD,"388,13","389,61","363,47","377,0","152,4","58646,32"
1616,2015-11-07,BTCUSD,"376,0","391,92","374,97","388,13","824,89","316125,45"
1617,2015-11-06,BTCUSD,"379,42","399,7","354,01","376,0","1183,23","443559,45"
1618,2015-11-05,BTCUSD,"410,0","450,0","369,73","379,42","1655,25","671522,45"
